year,iso_week,disease_raw,disease_bucket,case_count,source_pdf,page
2024,26,"Bengaluru, which was negative by RT-PCR. | 26th 2024.pdf | 18",other,2024,26th 2024.pdf,18
2023,27,"KN/BGK/2023/27/690 | Karnataka | Bagalkot | Acute
Diarrheal
Disease | 24 | 00 | 02-07-23 | 03-07-23 | Under
Control | Ca",lepto_cholera,2023,27th 2023.pdf,10
2023,27,"KN/VIJ/2023/27/692 | Karnataka | Vijayapura | Rabies | 01 | 01 | 06-07-23 | 06-07-23 | Under
Surveillance | Case reporte",other,2023,27th 2023.pdf,11
2024,27,KN/GUL/2024/27/1402 | Karnataka | Kalaburagi | Food Poisoning | 47 | 0 | 02-07-2024 | 02-07-2024 | 27th 2024.pdf | 9,other,2024,27th 2024.pdf,9
2024,27,"KN/GUL/2024/27/1403 | Karnataka | Kalaburagi | 16 | 0 | 30-06-2024 | 01-07-2024 | sent to Cholera Combat Team Office, | ",lepto_cholera,2024,27th 2024.pdf,9
2024,27,KN/MNY/2024/27/1404 | Karnataka | Mandya | 21 | 0 | 03-07-2024 | 03-07-2024 | DSL lab Mandya respectively. Stool samples,other,2024,27th 2024.pdf,9
2024,27,KN/RCR/2024/27/1405 | Karnataka | Raichur | 15 | 0 | 01-07-2024 | 03-07-2024 | Jalahalli CHC respectively. Stool samples,other,2024,27th 2024.pdf,10
2024,27,KN/RCR/2024/27/1406 | Karnataka | Raichur | Food Poisoning | 32 | 0 | 05-07-2024 | 06-07-2024 | Raichur. It came negativ,lepto_cholera,2024,27th 2024.pdf,10
2024,27,KN/SHI/2024/27/1407 | Karnataka | Shivamogga | Zika Virus | 3 | 0 | 04-07-2024 | 04-07-2024 | 27th 2024.pdf | 10,other,2024,27th 2024.pdf,10
2024,27,Bengaluru. 3 samples came positive for the | 27th 2024.pdf | 10,other,3,27th 2024.pdf,10
2024,27,KN/UDU/2024/27/1408 | Karnataka | Udupi | 12 | 0 | 30-06-2024 | 01-07-2024 | stools. Total 3 water samples were collecte,other,3,27th 2024.pdf,11
2023,28,"KN/CHI/2023/28/731 | Karnataka | Chitradurga | Acute
Diarrheal
Disease | 34 | 00 | 14-07-23 | Under
Surveillance | Cases",lepto_cholera,2023,28th 2023.pdf,8
2023,28,"KN/GUL/2023/28/732 | Karnataka | Kalaburagi | Acute
Diarrheal
Disease | 10 | 00 | 11-07-23 | Under
Control | Cases repor",lepto_cholera,2023,28th 2023.pdf,8
2023,28,"KN/RCR/2023/28/734 | Karnataka | Raichur | Acute
Diarrheal
Disease | 17 | 00 | 11-07-23 | Under
Control | Cases reported",lepto_cholera,2023,28th 2023.pdf,9
2023,28,"KN/TUM/2023/28/735 | Karnataka | Tumkur | Acute
Diarrheal
Disease | 25 | 00 | 16-07-23 | Under
Surveillance | Cases repo",lepto_cholera,2023,28th 2023.pdf,9
2024,28,"KN/BLR/2024/28/1478 | Karnataka | Ballari | Cholera | 29 | 0 | 14-07-2024 | Under
Surveillance | Cases reported from Hea",lepto_cholera,2024,28th 2024.pdf,14
2024,28,"KN/BEG/2024/28/1479 | Karnataka | Belagavi | Cholera | 49 | 0 | 09-07-2024 | Under
Control | Cases reported from Shindik",lepto_cholera,2024,28th 2024.pdf,14
2024,28,"KN/HSN/2024/28/1481 | Karnataka | Hassan | Dengue | 3 | 3 | 06-07-2024 | 09-07-2024 | Under
Control | Cases reported fro",dengue_malaria,2024,28th 2024.pdf,15
2024,28,"KN/DEV/2024/28/1544 | Karnataka | Davangere | Acute
Gastroenteritis | 67 | 0 | 03-07-2024 | Under
Control | Cases report",lepto_cholera,2024,28th 2024.pdf,35
